Price,odometer,make,model,year,color
14897,58962,HYUNDAI,Santa FE,2010,White
23521,90000,TOYOTA,Camry,2013,White
3450,50000,RENAULT,Clio,1995,Green
706,0,MAZDA,616,2014,Red
1019,318358,TOYOTA,Highlander,2009,Black
16935,71454,FORD,Fusion,2015,Black
19444,0,TOYOTA,Camry,2012,Black
11604,346470,HYUNDAI,Sonata,2014,Silver
51965,59515,HYUNDAI,Santa FE,2016,Blue
706,115312,TOYOTA,Camry,2014,Grey
9408,111111,MERCEDES-BENZ,C 220,1999,Silver
13328,74444,HYUNDAI,H1,2008,Yellow
17876,143000,NISSAN,Serena,2012,White
549,299709,NISSAN,Maxima,2004,Grey
20071,135000,TOYOTA,RAV 4,2008,Silver
22894,124444,HYUNDAI,H1,2011,Yellow
2901,146403,HONDA,Civic,2012,White
15681,142000,MITSUBISHI,Pajero,1997,Blue
39829,155821,LEXUS,GX 460,2010,Black
706,102907,LEXUS,GX 460,2015,Black
18660,130000,HYUNDAI,Sonata,2013,Black
22580,50930,MERCEDES-BENZ,E 300,2017,Black
11604,264872,HYUNDAI,Sonata,2014,Silver
314,131893,CHEVROLET,Volt,2014,Brown
5488,138958,GMC,TERRAIN,2013,Black
4300,1111111,MERCEDES-BENZ,208,1985,Black
18817,35058,TOYOTA,Camry,2018,White
21169,33330,HONDA,Hr-v EX,2015,Grey
9095,141000,FIAT,500,2011,Red
1568,82392,VOLKSWAGEN,Jetta,2014,Silver
3136,180000,SUBARU,Legacy,2005,Blue
17876,117920,HYUNDAI,Elantra sport limited,2013,Grey
11290,279787,HYUNDAI,Sonata,2016,Silver
36065,227200,TOYOTA,Sienna,2010,White
862,130478,TOYOTA,Camry,2014,White
21395,166144,HYUNDAI,H1,2012,Silver
15681,258706,HYUNDAI,Sonata,2016,Silver
627,188419,CHEVROLET,Volt,2012,Red
40070,25807,TOYOTA,Aqua,2016,Black
11917,180000,MERCEDES-BENZ,A 170,2008,Golden
72130,18918,LEXUS,NX 300,2018,Black
35927,137267,SSANGYONG,REXTON,2013,Silver
21012,160000,TOYOTA,Prius,2014,White
21012,27358,TOYOTA,Tacoma,2018,Grey
13172,84176,KIA,Carnival grand,2009,White
15624,107005,HYUNDAI,Genesis,2011,Grey
4547,15000,OPEL,Vectra,1997,Beige
5488,124154,INFINITI,QX60,2015,Black
20005,104997,HYUNDAI,Elantra,2012,White
36110,27728,VOLKSWAGEN,Passat,2017,Silver
7840,777777,MERCEDES-BENZ,E 240 E 240,1998,Blue
470,11566,MAZDA,1000,2019,Black
1300,4000,AUDI,50,2018,Blue
43880,113700,HYUNDAI,Santa FE,2016,Silver
29479,69000,MERCEDES-BENZ,C 250,2014,Grey
17249,152000,TOYOTA,Camry,2011,White
9408,181926,TOYOTA,Vitz funkargo,2003,Silver
44213,50255,HYUNDAI,Santa FE,2016,Red
8467,252800,BMW,325,2001,Grey
627,164488,AUDI,A6,2014,Silver
21950,125000,FORD,Transit,2011,White
706,164574,FIAT,500,2012,Red
3136,156992,CHEVROLET,Cruze,2014,Black
3450,0,OPEL,Vectra,1995,White
9408,11000,MITSUBISHI,Pajero,1998,Silver
31500,90200,NISSAN,Pathfinder,2010,Black
20385,184000,MITSUBISHI,Delica,2005,White
314,149486,MERCEDES-BENZ,E 350,2014,Silver
2300,0,VOLKSWAGEN,Golf,1996,Green
7840,170000,MERCEDES-BENZ,Vaneo,2004,Silver
56450,25000,TOYOTA,Camry Se,2018,Blue
1490,113214,VOLKSWAGEN,Jetta,2014,Grey
627,394069,TOYOTA,Tacoma,2012,Black
314,149486,MERCEDES-BENZ,E 350,2014,Silver
13172,260000,HONDA,Cr-v,2002,Silver
19757,222222,NISSAN,Patrol Y60,1990,Black
4704,301707,AUDI,A7,2013,Grey
706,175827,HYUNDAI,Sonata,2013,Black
5802,107800,MERCEDES-BENZ,E 350,2013,Grey
25716,115200,TOYOTA,Camry,2014,Silver
14426,132036,CHEVROLET,Orlando,2012,White
10820,91000,TOYOTA,RAV 4,2001,Silver
45436,129177,FORD,Explorer,2011,White
11917,201000,HYUNDAI,I30,2008,Black
41281,185811,HYUNDAI,Santa FE,2015,Black
4391,358400,NISSAN,Altima,1998,Brown
3058,28968,PORSCHE,Cayenne,2018,White
3700,240000,ALFA ROMEO,147,2001,Black
15681,98000,SUZUKI,Grand Vitara,2008,Black
6586,122302,LEXUS,CT 200h,2011,Black
12544,140000,TOYOTA,Prius,2007,Beige
30063,120000,HYUNDAI,Tucson,2014,White
72130,196800,PORSCHE,Panamera,2010,White
21639,17200,HYUNDAI,Veloster,2015,Red
36692,120000,TOYOTA,RAV 4 XLE Sport,2013,White
30,0,HONDA,FIT,2002,Silver
12231,66000,TOYOTA,Aqua,2014,Silver
3136,300000,TOYOTA,Sienta,2004,Beige
10663,230000,TOYOTA,Prius,2009,Grey
5620,110467,HONDA,FIT,2013,White
19130,157000,MERCEDES-BENZ,CLS 550,2010,Grey
9408,64000,HONDA,FIT,2012,Black
3,80000,HYUNDAI,Elantra,2011,Grey
15367,179200,VOLKSWAGEN,Passat,2013,White
5959,246976,CHEVROLET,Avalanche,2011,Black
26594,179918,HYUNDAI,H1,2014,Silver
36065,92200,TOYOTA,Avalon LIMITED,2013,Beige
26343,29000,KIA,Cerato K3,2016,Silver
549,216550,MAZDA,CX-7,2011,Black
6000,240000,JEEP,Grand Cherokee,1993,Green
40142,357246,LEXUS,GX 470,2010,Grey
14000,50000,HYUNDAI,Elantra,2013,Grey
17923,127842,CHEVROLET,Cruze,2014,White
54518,40193,HYUNDAI,Tucson,2017,Black
10349,180000,OPEL,Astra G,2003,Silver
8154,115000,TOYOTA,Ist,2002,Silver
282,220474,FORD,Escape,2008,Grey
7527,132310,VOLKSWAGEN,Passat,2013,Grey
3450,60762,TOYOTA,Camry,2017,White
22063,142264,HYUNDAI,Tucson,2010,White
2901,146403,HONDA,Civic,2012,White
4704,227371,TOYOTA,Corolla,2013,Silver
5331,175000,VOLKSWAGEN,Passat,2002,Grey
941,203440,VOLKSWAGEN,Jetta,2012,Black
16900,70000,HONDA,FIT,2013,Blue
18189,122000,NISSAN,Rogue,2010,Silver
5331,127000,MAZDA,MPV,2000,Green
42651,44995,MERCEDES-BENZ,GLA 250,2017,Black
15524,122324,TOYOTA,Prius,2012,Red
17249,111111,BMW,530,2007,Grey
73071,56000,LEXUS,GS 350,2013,Black
862,186048,FORD,Fusion,2014,Black
28909,98000,HYUNDAI,Elantra,2017,White
8467,573249,HYUNDAI,Sonata,2012,Black
50,130000,TOYOTA,Aqua,2013,Sky blue
14426,169024,HYUNDAI,Sonata,2014,White
9000,126000,VOLKSWAGEN,Sharan,2011,Silver
30734,200179,MERCEDES-BENZ,E 350,2014,Black
22580,156666,TOYOTA,Camry,2013,Black
862,133195,CHEVROLET,Volt,2014,Black
7464,114950,HONDA,FIT,2014,Blue
1333,154850,FORD,Fusion,2016,Black
59865,13000,HYUNDAI,Tucson,2019,White
49237,94262,TOYOTA,Tacoma,2017,White
68223,27406,HYUNDAI,H1,2018,Yellow
392,1600,MERCEDES-BENZ,E 300,2017,Black
7683,200000,NISSAN,Tiida,2006,Silver
22266,85500,FORD,Fusion,2013,Black
2430,175614,MERCEDES-BENZ,E 350,2008,Black
282,0,FORD,Fusion,2014,Silver
392,85944,NISSAN,Juke,2015,Black
33556,0,MERCEDES-BENZ,C 300,2015,Black
39161,73000,SSANGYONG,Actyon,2017,White
16308,180000,FORD,Transit,2008,White
17719,92000,TOYOTA,Camry,2009,Sky blue
43278,160138,LEXUS,GX 460,2011,White
470,197923,HYUNDAI,Santa FE,2012,Red
20385,42000,CHEVROLET,Cruze,2017,Black
941,254805,TOYOTA,Tundra,2016,White
49858,48000,HYUNDAI,Tucson,2019,White
8781,230000,NISSAN,Elgrand,1998,White
220,159250,MERCEDES-BENZ,C 350,2013,Black
9722,582376,HYUNDAI,Sonata,2015,Orange
21326,2000,MERCEDES-BENZ,CLS 500,2006,Grey
51075,40800,HYUNDAI,Tucson,2017,White
15241,117492,HYUNDAI,Genesis,2011,Grey
2587,88795,FORD,Fusion,2015,Black
15524,56769,HYUNDAI,H1,2008,Silver
27911,70000,MERCEDES-BENZ,C 250,2014,Beige
4861,136861,TOYOTA,Camry,2013,Blue
29793,263000,MERCEDES-BENZ,S 350,2005,Black
18208,95665,HYUNDAI,Elantra,2012,Grey
549,107387,HYUNDAI,Sonata,2017,Silver
30,0,NISSAN,Tiida,2006,Red
34497,65350,TOYOTA,RAV 4 Le,2013,White
6272,130000,OPEL,Zafira,2000,Silver
4924,183923,CHEVROLET,Captiva,2007,Silver
4704,11111,OPEL,Vectra b,2000,Red
43576,97129,HYUNDAI,H1,2016,Silver
7840,140000,MERCEDES-BENZ,C 200,2001,Black
28225,24000,TOYOTA,CHR,2018,Grey
700,0,OPEL,Astra,1992,White
2352,300000,MAZDA,323,1998,Silver
18817,29094,CHEVROLET,Cruze,2017,Grey
4861,148709,FORD,Fusion,2015,Red
13172,186005,LEXUS,RX 450,2010,Silver
37320,156800,MERCEDES-BENZ,E 350 ამგ,2013,Black
706,251430,FORD,Escape,2017,Blue
39201,35000,TOYOTA,Camry,2015,Grey
36426,35643,HYUNDAI,Elantra,2018,White
8467,250000,HONDA,Civic,2006,Grey
7840,255000,MERCEDES-BENZ,CLK 320,2000,Silver
12701,117158,HONDA,Cr-v,2015,White
8154,281659,SUBARU,Forester,2012,Blue
46414,63645,TOYOTA,Avalon,2015,White
45160,197338,MERCEDES-BENZ,ML 250,2015,White
100,1123,BMW,330,2007,Black
100355,35000,AUDI,A7 Prestige,2016,Black
1176,136634,MITSUBISHI,Colt Lancer,2014,Silver
12231,77000,HYUNDAI,Elantra,2013,Beige
5802,140000,TOYOTA,Prius,2007,Green
2901,45494,HYUNDAI,Sonata,2018,White
1882,47672,TOYOTA,Prius,2017,White
22894,109100,NISSAN,Pathfinder,2010,Blue
11290,145000,HONDA,FIT,2013,Silver
6586,270000,BMW,318,1997,Green
14426,188800,TOYOTA,Camry,2006,Grey
36065,39000,MITSUBISHI,Outlander,2016,Silver
27284,52000,TOYOTA,Camry SE,2014,Black
21639,34000,SUBARU,Forester,2016,White
7840,140000,HYUNDAI,I30,2009,Silver
7840,180003,MERCEDES-BENZ,E 200,1998,Black
282,220474,FORD,Escape,2008,Grey
1646,59099,MERCEDES-BENZ,GLE 350,2016,White
24198,124000,HYUNDAI,Tucson,2013,Silver
25365,34682,HONDA,FIT,2013,Grey
1725,310061,CHEVROLET,Malibu,2014,Blue
314,162453,ACURA,TL,2010,Silver
17249,22400,TOYOTA,Prius,2012,White
470,229904,MERCEDES-BENZ,E 350,2010,Black
31361,62000,HYUNDAI,Sonata,2014,White
4704,54279,HYUNDAI,Elantra,2007,Silver
12720,135759,CHEVROLET,Cruze,2011,Grey
26372,120534,HYUNDAI,Tucson,2013,Silver
13485,189000,BMW,X5,2003,Black
25591,140000,HYUNDAI,Elantra,2014,White
6429,108517,MERCEDES-BENZ,C 300,2010,White
251,107030,LEXUS,RX 350,2016,Grey
39829,155821,LEXUS,GX 460,2010,Black
13172,325811,MERCEDES-BENZ,E 350,2011,Black
627,24339,TOYOTA,CHR,2019,Blue
8097,130000,DAEWOO,Lacetti,2009,Black
12388,420794,BMW,X5,2012,Black
18503,280480,HYUNDAI,Sonata,2012,Silver
12231,150000,HONDA,Insight,2010,Black
40,135000,HONDA,FIT,2002,Black
17054,237853,HYUNDAI,H1,2011,Silver
5300,111000,HONDA,Stream,2001,Black
9565,42000,HYUNDAI,Sonata,2015,Orange
24302,60618,CHEVROLET,Malibu,2015,Black
18817,230400,TOYOTA,Camry,2009,Silver
1960,127918,NISSAN,Altima,2014,Red
17249,77000,HYUNDAI,Sonata,2016,Silver
15530,280016,HYUNDAI,Sonata,2016,Silver
11290,270874,HYUNDAI,Sonata,2016,Silver
24148,118000,TOYOTA,Prius,2013,Sky blue
10036,362868,HYUNDAI,Sonata,2014,Silver
18817,85000,HYUNDAI,Elantra,2015,Black
10349,132563,LEXUS,CT 200h,2014,Red
549,138211,LEXUS,RX 350,2010,Black
9252,391625,HYUNDAI,Sonata,2015,Orange
55823,38577,HYUNDAI,Tucson,2018,Black
25089,132800,TOYOTA,Camry,2013,Blue
18669,52686,HYUNDAI,H1,2011,Silver
941,232357,LEXUS,RX 450,2012,Black
15053,253206,FORD,Transit,2001,White
10660,76525,HONDA,FIT,2014,Blue
37000,80000,HYUNDAI,Tucson,2016,Silver
18826,186412,SSANGYONG,REXTON,2011,Silver
14583,230696,MERCEDES-BENZ,E 350,2011,Black
21012,285000,MERCEDES-BENZ,Vito,2007,Red
5645,92000,MITSUBISHI,I,2011,Brown
18826,120000,SSANGYONG,Actyon,2010,Silver
22649,142000,HYUNDAI,Tucson,2011,White
16590,42415,HYUNDAI,H1,2011,White
31988,51000,TOYOTA,Camry,2014,Grey
8624,19999,DAEWOO,Lacetti,2009,Grey
21012,89000,TOYOTA,Camry,2015,Silver
10663,114000,HONDA,FIT,2014,White
220,95987,MERCEDES-BENZ,E 350,2014,Black
13485,161000,VOLKSWAGEN,GTI,2006,Black
5331,241589,MITSUBISHI,Colt,2003,Sky blue
7370,260000,OPEL,Zafira,2000,Silver
11900,195000,FORD,Transit,2003,Yellow
17249,55000,VOLKSWAGEN,Jetta,2015,Black
4391,314000,MITSUBISHI,Pajero Mini,2006,Silver
17876,120000,FORD,C-MAX,2013,Silver
11604,157000,HONDA,FIT,2010,White
13799,240000,BMW,750,2005,Black
40769,76000,TOYOTA,RAV 4 s p o r t,2017,Black
7997,244731,LEXUS,RX 400,2008,Black
7840,410918,MERCEDES-BENZ,E 250,1995,White
14113,156800,VOLKSWAGEN,Jetta,2011,Blue
11917,188000,HONDA,FIT,2011,Blue
12777,162558,HYUNDAI,Sonata,2013,Black
18817,130000,TOYOTA,Prius C,2013,Red
23521,83000,TOYOTA,Camry,2012,Silver
22580,150400,AUDI,Q5,2010,Grey
392,27038,LEXUS,RX 450,2016,White
12544,284678,TOYOTA,Prius,2011,Silver
9722,121000,CHEVROLET,Cruze,2014,Green
3450,224349,HYUNDAI,Sonata,2011,Grey
1882,263392,TOYOTA,Prius,2014,Red
15991,280000,FORD,Transit,2007,White
11133,179381,TOYOTA,Camry,2014,Black
94,284251,HYUNDAI,Elantra,2017,Grey
34184,133000,MERCEDES-BENZ,E 350,2012,Black
21169,25304,CHEVROLET,Cruze,2018,Brown
7495,71486,CHEVROLET,Captiva,2008,Black
4861,95590,LEXUS,CT 200h,2011,White
13485,72369,HYUNDAI,Sonata,2015,Silver
81539,155976,LEXUS,GX 460,2016,White
20005,147718,HYUNDAI,Elantra,2012,Silver
3000,1000,SUBARU,Outback,2003,Blue
11917,200000,TOYOTA,Camry,2007,Grey
84675,4500,MERCEDES-BENZ,GLC 300,2018,Black
7840,180003,MERCEDES-BENZ,E 200,1998,Black
627,192683,LEXUS,CT 200h,2012,White
12570,152293,CHEVROLET,Lacetti,2010,Grey
17249,464000,LINCOLN,Navigator,2004,Grey
2800,455680,BMW,325,1988,Blue
6899,0,MERCEDES-BENZ,C 180,1997,Black
14009,137350,TOYOTA,Aqua,2015,Silver
392,202048,LEXUS,GX 470,2011,White
8311,109555,MERCEDES-BENZ,GLA 250,2016,White
23521,40000,TOYOTA,Corolla,2014,Green
25716,65000,FORD,Fusion Titanium,2016,Silver
21730,32510,HYUNDAI,Elantra,2017,Blue
80911,25541,HYUNDAI,H1,2019,Black
19369,153651,HYUNDAI,Genesis,2011,Red
12544,125000,SUZUKI,Jimny,2000,Green
25299,160000,HYUNDAI,Tucson,2012,Grey
7213,28515,CHEVROLET,Cruze,2018,Grey
6899,94923,CHEVROLET,Aveo,2012,Black
8154,147677,BMW,X6,2011,Red
18817,160000,TOYOTA,Prius,2011,Silver
61499,1217,HYUNDAI,Tucson,2019,Blue
17249,256000,TOYOTA,Prius,2010,White
9879,137000,TOYOTA,Aqua S,2013,Silver
4000,1000,VAZ,1111,1988,Green
17249,141000,TOYOTA,Prius,2011,Grey
51225,58414,HYUNDAI,Sonata,2017,Silver
49798,93555,HYUNDAI,Santa FE,2015,White
17249,64800,HYUNDAI,Elantra,2013,Black
29166,127000,FORD,Escape,2014,Silver
188,69555,MERCEDES-BENZ,GLA 250,2015,Red
79971,35000,LEXUS,NX 200,2017,Beige
11604,27000,OPEL,Astra,2006,Black
15681,11111,GAZ,32214,1977,Black
2500,32000,RENAULT,Laguna,1995,Blue
392,0,KIA,Optima,2013,Black
627,47294,HYUNDAI,Elantra,2018,Black
2274,149970,HONDA,Insight,2014,Grey
19444,102400,VOLKSWAGEN,Jetta,2015,Silver
43592,39814,MERCEDES-BENZ,GLE 350,2017,Black
15367,174000,TOYOTA,Prius,2009,Blue
4861,125605,TOYOTA,Highlander,2013,Black
14113,150000,HONDA,Shuttle,2013,White
13564,228570,CHEVROLET,Orlando,2012,Grey
17876,128205,FORD,C-MAX,2012,Silver
10349,2000,MERCEDES-BENZ,C 240,2002,Black
15000,138000,SUBARU,Legacy,2008,Black
12544,205500,MERCEDES-BENZ,E 320,2004,Silver
5600,1000,BMW,318,1996,Grey
14583,229966,BMW,X5,2012,Black
36827,137000,HYUNDAI,H1,2017,White
21639,368064,TOYOTA,Highlander,2011,Grey
9,18000,TOYOTA,Prius,2005,White
14113,155000,NISSAN,Elgrand,2003,Golden
40340,59272,SSANGYONG,Actyon,2016,White
10976,216000,HONDA,FIT,2012,Grey
25089,86000,MERCEDES-BENZ,C 300,2012,White
300,120,TOYOTA,Land Cruiser Prado,2019,White
18688,143166,HYUNDAI,Santa FE,2011,Grey
69935,273493,LEXUS,GX 470,2015,Silver
28830,68243,HYUNDAI,Elantra,2015,Silver
42337,180000,LEXUS,GX 470,2006,Black
23834,141000,FORD,Transit,2012,White
16621,119379,MERCEDES-BENZ,E 350,2011,Silver
314,26802,MERCEDES-BENZ,E 300,2017,Black
16000,272000,FORD,C-MAX,2014,Grey
11917,31691,HYUNDAI,Elantra,2013,White
13485,120000,BMW,328 Xdrive,2011,Black
862,263190,LEXUS,GX 470,2008,White
15994,1440000,TOYOTA,Camry,2014,Silver
5175,0,MERCEDES-BENZ,E 240,1998,Black
15367,290000,FORD,Taurus,2014,Grey
15994,73600,HYUNDAI,Veloster,2011,Carnelian red
11917,79749,CHEVROLET,Orlando,2012,Silver
18817,35058,TOYOTA,Camry,2018,White
1568,251514,CHEVROLET,Equinox,2014,Black
21953,20000,HYUNDAI,Sonata,2013,Black
13808,38206,HYUNDAI,Sonata,2016,White
392,183728,MAZDA,CX-7,2011,Blue
16151,110990,TOYOTA,Prius,2012,Silver
3300,777,RENAULT,Twingo,2001,Purple
22947,171344,HYUNDAI,Tucson,2010,Grey
40769,58450,BMW,535 M PAKET,2012,Grey
7840,65989,LEXUS,CT 200h,2013,Silver
9408,430000,MITSUBISHI,Pajero,1993,Blue
25089,125000,TOYOTA,Camry,2014,Grey
282,218126,LEXUS,GX 470,2008,Black
10976,167000,MERCEDES-BENZ,S 500 long,1997,Black
5488,109798,TOYOTA,Camry,2014,White
5000,545654,BMW,318,1997,Black
9722,130000,TOYOTA,Vitz,2012,White
16621,151977,HYUNDAI,Genesis,2010,Blue
13956,143619,LEXUS,RX 450,2015,Black
9418,676825,HYUNDAI,Sonata,2015,White
24415,135490,SSANGYONG,Korando,2012,Black
3763,199000,BMW,520,1989,White
470,115347,LEXUS,CT 200h,2015,Grey
10036,320000,BMW,525,2000,Black
1725,107155,HYUNDAI,Elantra,2014,Black
549,140082,HYUNDAI,Elantra,2014,Black
314,249422,TOYOTA,Camry,2012,Black
5645,200000,OPEL,Vectra,1997,White
10976,100000,TOYOTA,Corolla,2014,Silver
4547,213998,MERCEDES-BENZ,ML 350,2008,Silver
21285,52500,TOYOTA,Aqua,2013,Blue
29793,219030,MERCEDES-BENZ,E 350,2014,Black
706,102907,LEXUS,GX 460,2015,Black
862,186048,FORD,Fusion,2014,Black
314,149486,MERCEDES-BENZ,E 350,2014,Silver
19130,168000,AUDI,A4 premium,2010,Silver
1900,11111,FORD,Galaxy,2001,Blue
35570,97880,HYUNDAI,Tucson,2017,White
8781,175000,TOYOTA,Prius C,2012,Black
12544,263157,SUZUKI,Kizashi,2010,Black
24148,128000,HYUNDAI,Tucson,2014,Red
706,105328,TOYOTA,Prius,2013,White
22580,160000,TOYOTA,Prius,2014,Black
4861,136861,TOYOTA,Camry,2013,Blue
12858,210452,TOYOTA,Prius,2008,Silver
8154,185000,HONDA,FIT,2011,Black
1800,30000,VOLKSWAGEN,Golf 4,1998,Red
4861,137328,FORD,Fusion,2014,Silver
36065,129600,BMW,X5,2011,Black
282,220474,FORD,Escape,2008,Grey
17876,19968,TOYOTA,CHR,2019,White
18189,250491,BMW,328,2014,White
24775,46000,FORD,Fusion,2013,White
15257,163374,HYUNDAI,Sonata,2011,Grey
16900,120000,HONDA,Element,2009,Black
14740,233700,CITROEN,C1,2011,White
10976,121856,NISSAN,X-Trail,2004,Beige
22825,137433,CHEVROLET,Orlando,2012,White
12544,137000,KIA,RIO,2013,Black
16935,94949,LEXUS,CT 200h,2015,White
20385,111111,FORD,Mustang,2013,Black
10976,200000,LAND ROVER,Discovery,1995,Blue
38213,0,HONDA,Civic,2018,White
44134,48910,SSANGYONG,Actyon,2016,White
8467,0,MERCEDES-BENZ,C 240,2001,Silver
392,493571,TOYOTA,Camry,2013,Black
4391,85000,VOLKSWAGEN,Vento,1994,Black
7213,183000,MERCEDES-BENZ,C 200 2.0,2001,Black
9565,58282,HONDA,Civic,2017,White
348,284000,VOLKSWAGEN,Jetta,1999,White
12544,110000,VOLKSWAGEN,Jetta,2010,Silver
24148,210000,BMW,X5,2007,Black
6272,171000,OPEL,Astra,2004,White
100,77000,HYUNDAI,Sonata,2013,White
18817,170000,BMW,530,2005,Blue
119172,33500,BMW,M6,2014,White
10663,127000,HONDA,FIT,2011,Black
44247,153958,HYUNDAI,Santa FE,2015,White
9408,346080,BMW,325,2004,Black
19444,36000,VOLKSWAGEN,Jetta,2016,Grey
11917,200000,TOYOTA,Prius,2008,Grey
